lat,lon,timestamp,datetime,temp,pressure,humidity,wind_speed,wind_deg,weather
53.507383,-117.3103,1714107600,2024-04-26 05:00:00,271.18,1014,84,1.88,307,overcast clouds
53.811257,-117.01634,1721340000,2024-07-18 22:00:00,305.58,1010,19,1.55,37,few clouds
52.713017,-115.999983,1721347200,2024-07-19 00:00:00,288.02,1018,91,3.59,176,moderate rain
52.719833,-116.119983,1721419200,2024-07-19 20:00:00,302.47,1014,28,5.12,101,few clouds
53.183133,-117.735033,1721419200,2024-07-19 20:00:00,299.94,1016,44,4.15,106,broken clouds
53.260017,-116.598883,1721091600,2024-07-16 01:00:00,298.79,1008,39,3.51,48,broken clouds
58.122167,-115.695667,1719590400,2024-06-28 16:00:00,289.1,1018,38,1.86,99,few clouds
53.260633,-116.6002,1721091600,2024-07-16 01:00:00,298.79,1008,39,3.51,48,broken clouds
57.253817,-114.927017,1716152400,2024-05-19 21:00:00,277.75,1016,98,2.96,11,light rain
57.010752,-118.34991,1716750000,2024-05-26 19:00:00,289.54,1000,41,3.91,239,light rain
53.5343,-116.069083,1716966000,2024-05-29 07:00:00,281.6,1003,95,5.33,302,overcast clouds
53.680167,-116.924033,1717102800,2024-05-30 21:00:00,286.72,1013,27,6.31,298,overcast clouds
55.917533,-110.733367,1713999600,2024-04-24 23:00:00,290.06,1004,35,4.71,98,overcast clouds
56.212083,-110.875733,1713981600,2024-04-24 18:00:00,283.77,1009,45,4.35,115,overcast clouds
55.918033,-110.737767,1713996000,2024-04-24 22:00:00,289.88,1005,33,4.97,111,overcast clouds
55.032167,-117.507833,1714312800,2024-04-28 14:00:00,279.12,1004,90,1.61,229,light rain
53.047033,-115.031883,1717174800,2024-05-31 17:00:00,285.15,1011,44,8.06,294,scattered clouds
53.66875,-115.988083,1717621200,2024-06-05 21:00:00,289.81,1010,31,6.71,302,overcast clouds
54.795928,-115.515512,1717786800,2024-06-07 19:00:00,287.5,1012,30,9.06,306,scattered clouds
51.073815,-115.336913,1718233200,2024-06-12 23:00:00,288.6,1009,32,3.59,265,broken clouds
53.035617,-116.663383,1718409600,2024-06-15 00:00:00,288.18,1005,52,1.55,24,overcast clouds
55.927,-110.723917,1712865600,2024-04-11 20:00:00,284.28,1014,33,3.55,144,overcast clouds
58.540617,-115.1653,1712775600,2024-04-10 19:00:00,276.17,1021,70,1.81,271,overcast clouds
