YEAR,LATITUDE,LONGITUDE,GENERAL_CAUSE,START_DATE,FUEL_TYPE
2024,59.677533,-118.579667,Lightning,2024-07-01 19:00:00,M2
2024,56.662673,-113.630572,Lightning,2024-07-05 16:11:00,C2
2024,56.517717,-113.04725,Lightning,2024-07-05 16:49:00,C2
2024,56.3388,-113.385683,Lightning,2024-07-05 19:26:00,C2
2024,56.553883,-113.344833,Lightning,2024-07-05 16:17:00,C2
2024,55.348167,-118.194117,Agriculture Industry,2024-07-07 18:00:00,O1a
2024,54.557633,-117.378117,Lightning,2024-07-09 16:00:00,O1a
2024,55.385002,-118.205738,Agriculture Industry,2024-07-09 16:30:00,O1a
2024,58.771133,-111.063167,Lightning,2024-06-23 18:02:00,C1
2024,53.470083,-117.794967,Undetermined,2024-07-16 22:00:00,C2
2024,53.8879,-117.118233,Lightning,2024-07-15 19:00:00,C2
2024,54.872117,-116.745533,Lightning,2024-07-20 16:30:00,M2
2024,54.456917,-118.641133,Lightning,2024-07-19 15:40:00,O1b
2024,58.710883,-118.68745,Recreation,2024-05-09 14:15:00,O1b
2024,58.71,-118.69395,Resident,2024-05-28 11:59:00,O1b
2024,57.406467,-110.810767,Lightning,2024-07-02 18:21:00,C2
2024,57.4475,-111.098467,Lightning,2024-07-02 18:00:00,M2
2024,57.367848,-110.976882,Lightning,2024-07-02 18:04:00,C1
2024,57.304517,-110.754583,Lightning,2024-07-02 19:40:00,C2
2024,55.498383,-114.6491,Lightning,2024-07-10 11:25:00,C2
2024,55.488567,-114.632767,Lightning,2024-07-10 11:26:00,C2
2024,55.8327,-115.825417,Lightning,2024-07-10 13:10:00,C2
2024,55.575468,-119.030777,Recreation,2024-07-09 20:00:00,O1b
2024,55.204567,-113.746167,Agriculture Industry,2024-01-01 09:00:00,S1
2024,53.8943,-117.335883,Oil & Gas Industry,2024-05-08 19:30:00,O1a
2024,52.012833,-115.128833,Lightning,2024-06-21 13:40:00,C3
2024,52.167617,-115.19625,Lightning,2024-06-22 17:25:00,C3
2024,57.678967,-114.095367,Lightning,2024-04-24 15:45:00,C2
2024,53.800917,-116.058617,Agriculture Industry,2024-02-28 15:00:00,O1a
2024,54.53582,-114.350052,Recreation,2024-04-27 15:00:00,M1
2024,51.916117,-115.0709,Lightning,2024-06-21 13:50:00,C3
2024,52.099633,-114.998883,Lightning,2024-06-21 16:03:00,M2
2024,52.375133,-115.542367,Lightning,2024-06-21 19:50:00,M2
2024,52.35545,-115.492083,Lightning,2024-06-21 18:04:00,C4
2024,56.143583,-116.848083,Agriculture Industry,2024-01-01 12:00:00,S2
2024,56.112717,-116.882283,Agriculture Industry,2024-02-21 10:00:00,S2
2024,54.109493,-116.537238,Forest Industry,2024-01-19 12:00:00,S1
