#This file contains the count of Vaisala NLDN lightning strikes within a 0.1 degree grid cell for the specified day as defined by the UTC/GMT time zone.
#File written at Wed Feb  5 11:38:49 EST 2025.
#ZDAY,CENTERLON,CENTERLAT,TOTAL_COUNT
20250101,-66.8,40.6,2
20250101,-64.1,40.6,3
20250101,-63.3,40.6,1
20250101,-62.8,40.6,2
20250101,-60.6,40.6,1
20250101,-60.5,40.6,6
20250101,-60.2,40.6,2
20250101,-59.5,40.6,1
20250101,-59.3,40.6,1
20250101,-74,40.7,1
20250101,-75.6,40.7,1
20250101,-75.5,40.7,3
20250101,-74.3,40.7,1
20250101,-74.2,40.7,1
20250101,-74.1,40.7,1
20250101,-73.9,40.7,3
20250101,-73.8,40.7,2
20250101,-73.7,40.7,9
20250101,-73.6,40.7,17
20250101,-73.5,40.7,3
20250101,-73.4,40.7,2
20250101,-73.3,40.7,12
20250101,-73.2,40.7,43
20250101,-73.1,40.7,6
20250101,-72.9,40.7,2
20250101,-71.9,40.7,2
20250101,-71.3,40.7,2
20250101,-71.2,40.7,2
20250101,-71.1,40.7,1
20250101,-66.8,40.7,2
20250101,-63.9,40.7,1
20250101,-63.8,40.7,1
20250101,-62.7,40.7,3
20250101,-62.6,40.7,2
20250101,-62.4,40.7,3
20250101,-62.1,40.7,1
20250101,-75.5,40.4,1
20250101,-75.3,40.4,1
20250101,-75.1,40.4,2
20250101,-74.6,40.4,1
20250101,-74.3,40.4,1
20250101,-73.9,40.4,1
20250101,-73.8,40.4,12
20250101,-73.7,40.4,28
20250101,-73.6,40.4,18
20250101,-73.5,40.4,17
20250101,-73.4,40.4,9
20250101,-73.3,40.4,9
20250101,-73.2,40.4,1
20250101,-72.4,40.4,1
20250101,-72.2,40.4,1
20250101,-72.1,40.4,3
20250101,-71.9,40.4,7
20250101,-71.5,40.4,1
20250101,-64.1,40.4,2
20250101,-63.6,40.4,1
20250101,-62.7,40.4,2
20250101,-62.6,40.4,5
20250101,-61.6,40.4,1
20250101,-61.4,40.4,1
20250101,-61.1,40.4,1
20250101,-60.9,40.4,2
20250101,-60.8,40.4,2
20250101,-60.6,40.4,2
20250101,-59.7,40.4,2
20250101,-59.5,40.4,1
20250101,-75,40.5,1
20250101,-64,40.5,3
20250101,-63,40.5,2
20250101,-75.5,40.5,3
20250101,-75.4,40.5,1
20250101,-75.1,40.5,1
20250101,-74.9,40.5,1
20250101,-74.8,40.5,2
20250101,-74.1,40.5,2
20250101,-73.8,40.5,5
20250101,-73.7,40.5,29
20250101,-73.6,40.5,5
20250101,-73.5,40.5,9
20250101,-73.4,40.5,8
